iter	Passed	Remaining
557	7405	32317
558	7418	32299
559	7433	32293
560	7445	32279
561	7458	32261
562	7469	32241
563	7480	32216
564	7495	32211
565	7510	32204
566	7523	32188
567	7535	32173
568	7546	32150
569	7559	32134
570	7572	32121
571	7585	32106
572	7596	32084
573	7609	32066
574	7621	32048
575	7635	32039
576	7646	32017
577	7683	32101
578	7696	32087
579	7709	32074
580	7731	32097
581	7744	32081
582	7758	32069
583	7777	32081
584	7793	32077
585	7811	32085
586	7827	32083
587	7844	32083
588	7858	32075
589	7875	32076
590	7895	32090
591	7911	32085
592	7924	32071
593	7938	32059
594	7951	32044
595	7965	32037
596	7977	32016
597	7991	32004
598	8004	31992
599	8017	31978
600	8033	31973
601	8045	31954
602	8058	31938
603	8070	31920
604	8082	31901
605	8095	31888
606	8107	31870
607	8120	31855
608	8133	31838
609	8146	31826
610	8160	31812
611	8171	31792
612	8184	31778
613	8197	31762
614	8208	31740
615	8221	31726
616	8235	31713
617	8246	31691
618	8257	31670
619	8269	31649
620	8282	31634
621	8292	31611
622	8303	31588
623	8315	31568
624	8326	31545
625	8339	31534
626	8356	31534
627	8369	31518
628	8381	31500
629	8396	31493
630	8409	31480
631	8421	31460
632	8433	31441
633	8445	31425
634	8458	31411
635	8472	31399
636	8486	31388
637	8498	31370
638	8514	31366
639	8525	31345
640	8538	31330
641	8551	31314
642	8562	31293
643	8572	31268
644	8584	31249
645	8597	31234
646	8607	31209
647	8618	31189
648	8630	31169
649	8641	31147
650	8654	31135
651	8667	31120
652	8679	31104
653	8692	31089
654	8703	31068
655	8716	31052
656	8727	31029
657	8738	31011
658	8749	30989
659	8762	30972
660	8776	30964
661	8787	30943
662	8799	30923
663	8810	30901
664	8820	30879
665	8834	30867
666	8847	30852
667	8859	30835
668	8871	30817
669	8882	30797
670	8895	30783
671	8907	30766
672	8918	30745
673	8930	30725
674	8942	30707
675	8954	30689
676	8966	30674
677	8978	30656
678	8989	30635
679	9000	30615
680	9014	30605
681	9027	30589
682	9042	30582
683	9052	30558
684	9063	30539
685	9076	30525
686	9088	30505
687	9102	30496
688	9114	30478
689	9125	30457
690	9138	30442
691	9149	30422
692	9160	30403
693	9171	30382
694	9183	30364
695	9196	30351
696	9207	30331
697	9218	30309
698	9230	30293
699	9242	30275
700	9254	30259
701	9269	30250
702	9280	30232
703	9293	30216
704	9305	30198
705	9317	30182
706	9329	30166
707	9341	30148
708	9351	30126
709	9363	30106
710	9375	30092
711	9389	30082
712	9405	30076
713	9417	30058
714	9429	30041
715	9441	30025
716	9452	30005
717	9464	29988
718	9475	29969
719	9486	29948
720	9499	29933
721	9511	29916
722	9522	29896
723	9532	29875
724	9544	29858
725	9558	29846
726	9571	29832
727	9581	29811
728	9593	29793
729	9605	29776
730	9618	29762
731	9629	29744
732	9640	29723
733	9652	29707
734	9663	29687
735	9678	29679
736	9689	29661
737	9701	29643
738	9712	29624
739	9726	29612
740	9740	29603
741	9752	29584
742	9762	29563
743	9773	29544
744	9785	29526
745	9797	29509
746	9809	29494
747	9821	29478
748	9832	29459
749	9844	29440
750	9858	29430
751	9870	29415
752	9882	29398
753	9893	29379
754	9906	29365
755	9919	29352
756	9931	29334
757	9943	29319
758	9955	29301
759	9967	29285
760	9979	29269
761	9990	29251
762	10002	29233
763	10018	29228
764	10029	29211
765	10041	29195
766	10053	29177
767	10064	29159
768	10077	29143
769	10088	29126
770	10102	29115
771	10115	29103
772	10143	29131
773	10157	29120
774	10170	29106
775	10189	29112
776	10203	29100
777	10215	29085
778	10228	29071
779	10246	29071
780	10262	29064
781	10276	29055
782	10290	29045
783	10305	29035
784	10321	29031
785	10337	29025
786	10357	29033
787	10373	29028
788	10386	29014
789	10400	29004
790	10416	28998
791	10429	28984
792	10441	28968
793	10455	28955
794	10475	28961
795	10492	28959
