case:concept:name,simulations,n_match,any_match,all_match
20191010902,10,10,True,True
20191010904,10,10,True,True
20191010911,10,7,True,False
20191010920,10,10,True,True
20191010932,10,10,True,True
20191010936,10,10,True,True
20191010937,10,10,True,True
20191010950,10,10,True,True
20191010976,10,10,True,True
20191010981,10,10,True,True
20191010988,10,10,True,True
20191010991,10,10,True,True
20191010994,10,10,True,True
20191011006,10,10,True,True
20191011012,10,10,True,True
20191011018,10,10,True,True
20191011019,10,10,True,True
20191011026,10,10,True,True
20191011033,10,10,True,True
20191011038,10,10,True,True
20191011044,10,10,True,True
20191011051,10,10,True,True
20191011054,10,10,True,True
20191011057,10,10,True,True
20191011062,10,10,True,True
20191011067,10,10,True,True
20191011069,10,10,True,True
20191011070,10,10,True,True
20191011071,10,10,True,True
20191011098,10,10,True,True
20191011113,10,10,True,True
20191011125,10,10,True,True
20191011126,10,10,True,True
20191011127,10,10,True,True
20191011128,10,10,True,True
20191011143,10,10,True,True
20191011155,10,10,True,True
20191011157,10,10,True,True
20191011158,10,10,True,True
20191011161,10,10,True,True
20191011173,10,10,True,True
20191011176,10,10,True,True
20191011177,10,10,True,True
20191011178,10,10,True,True
20191011196,10,10,True,True
20191011207,10,10,True,True
20191011209,10,10,True,True
20191011211,10,10,True,True
20191011221,10,10,True,True
20191011225,10,10,True,True
20191011232,10,6,True,False
20191011258,10,10,True,True
20191011264,10,10,True,True
20191011267,10,10,True,True
20191011272,10,10,True,True
20191011273,10,10,True,True
20191011277,10,10,True,True
20191011291,10,10,True,True
20191011292,10,10,True,True
20191011306,10,10,True,True
20191011315,10,10,True,True
20191011319,10,10,True,True
20191011321,10,10,True,True
20191011322,10,10,True,True
20191011325,10,10,True,True
20191011353,10,10,True,True
20191011354,10,10,True,True
20191011355,10,10,True,True
20191011356,10,10,True,True
20191011357,10,10,True,True
20191011358,10,10,True,True
20191011359,10,10,True,True
20191011360,10,10,True,True
20191011361,10,10,True,True
20191011362,10,10,True,True
20191011363,10,10,True,True
20191011364,10,10,True,True
20191011365,10,10,True,True
20191011366,10,10,True,True
20191011367,10,10,True,True
20191011368,10,10,True,True
20191011369,10,9,True,False
20191011370,10,10,True,True
20191011371,10,10,True,True
20191011372,10,10,True,True
20191011373,10,10,True,True
20191011374,10,10,True,True
20191011375,10,10,True,True
20191011376,10,10,True,True
20191011377,10,10,True,True
20191011378,10,10,True,True
20191011379,10,10,True,True
20191011380,10,10,True,True
20191011381,10,10,True,True
20191011382,10,10,True,True
20191011383,10,10,True,True
20191011384,10,10,True,True
20191011385,10,10,True,True
