iter	Passed	Remaining
599	10085	23532
600	10103	23517
601	10118	23498
602	10133	23477
603	10149	23457
604	10165	23438
605	10180	23418
606	10197	23401
607	10213	23384
608	10230	23367
609	10248	23353
610	10264	23333
611	10278	23312
612	10294	23293
613	10310	23274
614	10325	23254
615	10342	23236
616	10357	23217
617	10373	23197
618	10389	23178
619	10405	23159
620	10420	23140
621	10436	23121
622	10453	23104
623	10469	23087
624	10486	23070
625	10504	23055
626	10519	23036
627	10535	23016
628	10550	22997
629	10566	22976
630	10581	22956
631	10596	22936
632	10610	22914
633	10625	22894
634	10642	22876
635	10658	22858
636	10672	22836
637	10687	22816
638	10704	22799
639	10721	22782
640	10737	22764
641	10753	22746
642	10769	22728
643	10785	22710
644	10800	22690
645	10817	22672
646	10831	22651
647	10847	22632
648	10863	22613
649	10880	22598
650	10897	22581
651	10913	22563
652	10929	22544
653	10945	22526
654	10960	22506
655	10976	22488
656	10991	22469
657	11007	22450
658	11023	22431
659	11038	22412
660	11053	22392
661	11069	22372
662	11084	22353
663	11099	22333
664	11115	22314
665	11131	22297
666	11147	22278
667	11163	22260
668	11180	22244
669	11197	22227
670	11213	22210
671	11229	22191
672	11245	22172
673	11261	22155
674	11281	22145
675	11301	22133
676	11316	22114
677	11332	22096
678	11348	22078
679	11364	22061
680	11380	22042
681	11396	22024
682	11412	22006
683	11428	21987
684	11442	21967
685	11458	21949
686	11475	21932
687	11491	21913
688	11506	21893
689	11521	21874
690	11538	21857
691	11554	21839
692	11569	21820
693	11585	21802
694	11602	21785
695	11618	21767
696	11633	21748
697	11649	21729
698	11663	21708
699	11680	21691
700	11711	21701
701	11737	21703
702	11761	21699
703	11786	21697
704	11809	21692
705	11833	21689
706	11852	21677
707	11873	21668
708	11896	21662
709	11919	21656
710	11938	21644
711	11957	21630
712	11974	21614
713	11990	21596
714	12006	21578
715	12022	21559
716	12038	21541
717	12055	21525
718	12071	21507
719	12091	21495
720	12107	21477
721	12123	21460
722	12139	21441
723	12155	21422
724	12171	21404
725	12186	21385
726	12202	21367
727	12218	21348
728	12234	21330
729	12249	21311
730	12264	21290
731	12280	21273
732	12296	21254
733	12313	21238
734	12330	21222
735	12347	21206
736	12364	21189
737	12381	21172
738	12398	21155
739	12414	21137
740	12428	21117
741	12444	21097
742	12460	21080
743	12477	21063
744	12494	21048
745	12509	21028
746	12524	21009
747	12540	20991
748	12556	20972
749	12573	20955
750	12588	20935
751	12603	20915
752	12619	20897
753	12634	20878
754	12648	20858
755	12665	20840
756	12680	20822
757	12696	20803
758	12712	20785
759	12729	20769
760	12745	20750
761	12760	20731
762	12776	20714
763	12792	20695
764	12808	20678
765	12824	20659
766	12839	20639
767	12855	20622
768	12870	20603
769	12888	20587
770	12905	20571
771	12922	20555
772	12939	20539
773	12957	20523
774	12973	20507
775	12990	20490
776	13009	20476
777	13026	20461
778	13042	20443
779	13060	20428
780	13079	20414
781	13097	20400
782	13115	20385
783	13133	20370
784	13152	20357
785	13169	20340
786	13187	20325
787	13203	20308
788	13221	20292
789	13237	20275
790	13255	20259
791	13273	20245
792	13293	20233
793	13310	20217
794	13328	20202
795	13345	20186
796	13365	20173
797	13384	20161
798	13403	20147
799	13420	20130
800	13438	20115
801	13455	20099
802	13472	20082
803	13488	20065
804	13506	20049
805	13523	20033
806	13543	20020
807	13561	20007
808	13582	19995
809	13598	19977
810	13613	19958
811	13629	19940
812	13645	19922
813	13660	19902
814	13676	19885
815	13693	19869
816	13710	19852
817	13726	19834
818	13741	19815
819	13756	19796
820	13772	19778
821	13788	19760
822	13804	19742
823	13820	19725
824	13836	19706
825	13852	19689
826	13869	19671
827	13884	19653
828	13900	19634
829	13915	19616
830	13932	19599
831	13962	19601
832	13986	19594
833	14011	19588
834	14035	19582
835	14066	19585
836	14093	19582
837	14115	19573
838	14134	19559
839	14154	19547
840	14172	19532
841	14193	19519
842	14211	19504
843	14228	19488
844	14245	19471
845	14262	19455
846	14278	19436
847	14292	19416
848	14308	19398
849	14325	19381
850	14341	19363
851	14356	19343
852	14371	19324
853	14386	19305
854	14402	19287
855	14419	19271
856	14437	19255
857	14454	19238
858	14470	19221
859	14487	19204
860	14504	19187
861	14520	19169
862	14536	19151
863	14552	19133
864	14567	19114
865	14584	19097
866	14600	19079
867	14616	19061
868	14632	19043
869	14648	19025
870	14665	19009
871	14699	19014
872	14723	19006
873	14741	18992
874	14759	18977
875	14775	18958
876	14790	18939
877	14806	18921
878	14822	18903
879	14838	18885
880	14855	18868
881	14875	18855
882	14893	18839
883	14909	18822
884	14924	18803
885	14941	18786
886	14955	18765
887	14971	18748
888	14987	18730
889	15002	18711
890	15018	18692
891	15033	18674
892	15050	18656
893	15066	18639
894	15083	18623
895	15099	18604
896	15115	18586
897	15131	18568
898	15147	18550
899	15163	18533
