case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
205274,269,nsga2,30.0,7.0,0.2632780075073242,0.8698507728731868,0.03003983923788361,3
205274,269,nsga2,30.0,10.0,0.47392988204956055,1.0,0.0,4
205274,269,nsga2,50.0,3.0,0.14525866508483887,0.10591218904742938,0.07155268015317559,5
205274,269,nsga2,50.0,5.0,0.23681378364562988,0.9449456398128878,0.004173260459743866,6
205274,269,nsga2,50.0,7.0,0.33747220039367676,1.0,0.0,4
205274,269,nsga2,50.0,10.0,0.4845290184020996,1.0,0.0,4
208124,269,exhaustive,,,0.049605369567871094,1.0,0.0,4
208124,269,nsga2,10.0,3.0,0.08183026313781738,0.04136898187609856,0.07570035833269687,4
208124,269,nsga2,10.0,5.0,0.1562824249267578,0.0011132751748635149,0.04440625376901343,3
208124,269,nsga2,10.0,7.0,0.2056891918182373,0.015167681158421263,0.04440625376901343,4
208124,269,nsga2,10.0,10.0,0.29604387283325195,0.01619803640290435,0.043686003888265254,3
208124,269,nsga2,20.0,3.0,0.15762782096862793,0.0011037032013192522,0.05001298444815641,3
208124,269,nsga2,20.0,5.0,0.21071815490722656,0.01716031124069927,0.04519368483231775,4
208124,269,nsga2,20.0,7.0,0.2817656993865967,0.9400045654275668,0.008953329404269399,3
208124,269,nsga2,20.0,10.0,0.36458754539489746,0.9362903003343195,0.0038585574996097896,4
208124,269,nsga2,30.0,3.0,0.08907866477966309,0.06971167713096156,0.05595962164963968,7
208124,269,nsga2,30.0,5.0,0.21093440055847168,0.9044301594916666,0.006003183891837079,4
208124,269,nsga2,30.0,7.0,0.28055357933044434,0.9400064950622505,0.0031550480813552382,4
208124,269,nsga2,30.0,10.0,0.40133237838745117,1.0,0.0,4
208124,269,nsga2,50.0,3.0,0.12090873718261719,0.1313105979593643,0.029945402784393216,4
208124,269,nsga2,50.0,5.0,0.293367862701416,1.0,0.0,4
208124,269,nsga2,50.0,7.0,0.43396830558776855,1.0,0.0,4
208124,269,nsga2,50.0,10.0,0.5670461654663086,1.0,0.0,4
193968,303,exhaustive,,,0.02713298797607422,1.0,0.0,5
193968,303,nsga2,10.0,3.0,0.08144283294677734,0.14842112490398124,0.1425868976890976,3
193968,303,nsga2,10.0,5.0,0.15900611877441406,0.1494650388963893,0.14053185728542741,4
193968,303,nsga2,10.0,7.0,0.2020406723022461,0.15026890519142916,0.14011268518493888,5
193968,303,nsga2,10.0,10.0,0.32808852195739746,0.15026890519142916,0.14011268518493888,5
193968,303,nsga2,20.0,3.0,0.09499740600585938,0.7874174809793545,0.07004781520351548,3
193968,303,nsga2,20.0,5.0,0.17341995239257812,0.8598013080057726,0.0002954587011808174,5
193968,303,nsga2,20.0,7.0,0.3298001289367676,1.0,0.0,5
